Articles,Total Words,Frequency
Article730,24,0
Article731,17,0
Article732,18,0
Article733,25,0
Article734,13,0
Article735,18,0
Article736,19,0
Article737,19,0
Article738,17,0
Article739,24,0
Article740,18,0
Article741,20,0
Article742,18,0
Article743,23,0
Article744,3,0
Article745,11,0
Article746,22,0
Article747,25,0
Article748,19,0
Article749,14,0
Article750,21,0
Article751,28,0
Article752,22,0
Article753,22,0
Article754,7,0
Article755,8,0
Article756,22,0
Article757,27,0
Article758,9,0
Article759,21,0
Article760,12,0
Article761,20,0
Article762,26,0
Article763,18,0
Article764,19,0
Article765,13,0
Article766,19,0
Article767,21,0
Article768,16,0
Article769,18,0
Article770,23,0
Article771,9,0
Article772,23,0
Article773,18,0
Article774,20,0
Article775,14,0
Article776,20,0
Article777,21,0
Article778,13,0
Article779,20,0
Article780,22,0
Article781,14,0
Article782,24,0
Article783,17,0
Article784,21,0
Article785,17,0
Article786,14,0
Article787,22,0
Article788,21,0
Article789,28,0
Article790,11,0
Article791,9,0
Article792,17,0
Article793,17,0
Article794,22,0
Article795,17,0
Article796,21,0
Article797,21,0
Article798,20,0
Article799,21,0
Article800,18,0
Article801,19,0
Article802,19,0
Article803,19,0
Article804,27,0
Article805,21,0
Article806,3,0
Article807,15,0
Article808,22,0
Article809,19,0
Article810,20,0
Article811,20,0
Article812,21,0
Article813,8,0
Article814,18,0
Article815,25,0
Article816,21,0
Article817,20,0
Article818,3,0
Article819,25,0
Article820,10,0
Article821,17,0
Article822,12,0
Article823,21,0
Article824,18,0
Article825,22,0
Article826,19,0
Article827,23,0
Article828,22,0
Article829,20,0
Article830,17,0
Article831,19,0
Article832,20,0
Article833,22,0
Article834,22,0
Article835,18,0
Article836,18,0
Article837,19,0
Article838,21,0
Article839,8,0
Article840,24,0
Article841,17,0
Article842,18,0
Article843,25,0
Article844,13,0
Article845,18,0
Article846,19,0
Article847,19,0
Article848,17,0
Article849,24,0
Article850,18,0
Article851,20,0
Article852,18,0
Article853,23,0
Article854,3,0
Article855,11,0
Article856,22,0
Article857,25,0
Article858,19,0
Article859,14,0
Article860,21,0
Article861,28,0
Article862,22,0
Article863,22,0
Article864,7,0
Article865,8,0
Article866,22,0
Article867,27,0
Article868,9,0
Article869,21,0
Article870,12,0
Article871,20,0
Article872,26,0
Article873,18,0
Article874,19,0
Article875,13,0
Article876,19,0
Article877,21,0
Article878,16,0
Article879,18,0
Article880,23,0
Article881,9,0
Article882,23,0
Article883,18,0
Article884,20,0
Article885,14,0
Article886,20,0
Article887,21,0
Article888,13,0
Article889,20,0
Article890,22,0
Article891,14,0
Article892,24,0
Article893,17,0
Article894,21,0
Article895,17,0
Article896,14,0
Article897,22,0
Article898,21,0
Article899,28,0
Article900,11,0
Article901,19,0
Article902,19,0
Article903,19,0
Article904,27,0
Article905,21,0
Article906,3,0
Article907,15,0
Article908,22,0
Article909,19,0
Article910,20,0
Article911,20,0
Article912,21,0
Article913,8,0
Article914,18,0
Article915,25,0
Article916,21,0
Article917,20,0
Article918,3,0
Article919,25,0
Article920,10,0
Article921,17,0
Article922,12,0
Article923,21,0
Article924,18,0
Article925,22,0
Article926,19,0
Article927,23,0
Article928,22,0
Article929,20,0
Article930,17,0
Article931,19,0
Article932,20,0
Article933,22,0
Article934,22,0
Article935,18,0
Article936,18,0
Article937,19,0
Article938,21,0
Article939,8,0
Article940,24,0
Article941,17,0
Article942,18,0
Article943,25,0
Article944,13,0
Article945,18,0
Article946,19,0
Article947,19,0
Article948,17,0
Article949,24,0
Article950,18,0
Article951,20,0
Article952,18,0
Article953,23,0
Article954,3,0
Article955,11,0
Article956,22,0
Article957,25,0
Article958,19,0
Article959,14,0
Article960,21,0
Article961,28,0
Article962,22,0
Article963,22,0
Article964,7,0
Article965,8,0
Article966,22,0
Article967,27,0
Article968,9,0
Article969,21,0
Article970,12,0
Article971,20,0
Article972,26,0
Article973,18,0
Article974,19,0
Article975,13,0
Article976,19,0
Article977,21,0
Article978,16,0
Article979,18,0
Article980,23,0
Article981,9,0
Article982,23,0
Article983,18,0
Article984,20,0
Article985,14,0
Article986,20,0
Article987,21,0
Article988,13,0
Article989,20,0
Article990,22,0
Article991,14,0
Article992,24,0
Article993,17,0
Article994,21,0
Article995,17,0
Article996,14,0
Article997,22,0
Article998,21,0
Article999,28,0
Article1000,11,0
Article1001,25,0
Article1002,24,0
Article1003,23,0
Article1004,19,0
Article1005,23,0
Article1006,24,0
Article1007,15,0
Article1008,3,0
Article1009,22,0
Article1010,24,0
Article1011,5,0
Article1012,25,0
Article1013,23,0
Article1014,25,0
Article1015,23,0
Article1016,17,0
Article1017,23,0
Article1018,19,0
Article1019,20,0
Article1020,26,0
Article1021,16,0
Article1022,23,0
Article1023,24,0
Article1024,26,0
Article1025,19,0
Article1026,21,0
Article1027,23,0
Article1028,14,0
Article1029,13,0
Article1030,23,0
Article1031,21,0
Article1032,17,0
Article1033,17,0
Article1034,16,0
Article1035,24,0
Article1036,10,0
Article1037,21,0
Article1038,19,0
Article1039,23,0
Article1040,20,0
Article1041,17,0
Article1042,8,0
Article1043,23,0
Article1044,19,0
Article1045,17,0
Article1046,16,0
Article1047,16,0
Article1048,24,0
Article1049,11,0
Article1050,22,0
Article1051,15,0
Article1052,21,0
Article1053,17,0
Article1054,23,0
Article1055,15,0
Article1056,9,0
Article1057,18,0
Article1058,18,0
Article1059,2,0
Article1060,23,0
Article1061,12,0
Article1062,18,0
Article1063,19,0
Article1064,26,0
Article1065,16,0
Article1066,15,0
Article1067,0,0
Article1068,10,0
Article1069,12,0
Article1070,18,0
Article1071,20,0
Article1072,14,0
Article1073,17,0
Article1074,21,0
Article1075,19,0
Article1076,20,0
Article1077,17,0
Article1078,20,0
Article1079,12,0
Article1080,26,0
Article1081,22,0
Article1082,20,0
Article1083,21,0
Article1084,19,0
Article1085,10,0
Article1086,22,0
Article1087,17,0
Article1088,17,0
Article1089,11,0
Article1090,14,0
Article1091,22,0
Article1092,22,0
Article1093,15,0
Article1094,26,0
Article1095,22,0
Article1096,12,0
Article1097,21,0
Article1098,23,0
Article1099,11,0
Article1100,15,0
Article1101,25,0
Article1102,24,0
Article1103,23,0
Article1104,19,0
Article1105,23,0
Article1106,24,0
Article1107,15,0
Article1108,3,0
Article1109,22,0
Article1110,24,0
Article1111,5,0
Article1112,25,0
Article1113,23,0
Article1114,25,0
Article1115,23,0
Article1116,17,0
Article1117,23,0
Article1118,19,0
Article1119,20,0
Article1120,26,0
Article1121,16,0
Article1122,23,0
Article1123,24,0
Article1124,26,0
Article1125,19,0
Article1126,21,0
Article1127,23,0
Article1128,14,0
Article1129,13,0
Article1130,23,0
Article1131,21,0
Article1132,17,0
Article1133,17,0
Article1134,16,0
Article1135,24,0
Article1136,10,0
Article1137,21,0
Article1138,19,0
Article1139,23,0
Article1140,20,0
Article1141,17,0
Article1142,8,0
Article1143,23,0
Article1144,19,0
Article1145,17,0
Article1146,16,0
Article1147,16,0
Article1148,24,0
Article1149,11,0
Article1150,22,0
Article1151,15,0
Article1152,21,0
Article1153,17,0
Article1154,23,0
Article1155,15,0
Article1156,9,0
Article1157,18,0
Article1158,18,0
Article1159,2,0
Article1160,23,0
Article1161,12,0
Article1162,18,0
Article1163,19,0
Article1164,26,0
Article1165,16,0
Article1166,15,0
Article1167,0,0
Article1168,10,0
Article1169,12,0
Article1170,18,0
Article1171,20,0
Article1172,14,0
Article1173,17,0
Article1174,21,0
Article1175,19,0
Article1176,20,0
Article1177,17,0
Article1178,20,0
Article1179,12,0
Article1180,26,0
Article1181,22,0
Article1182,20,0
Article1183,21,0
Article1184,19,0
Article1185,10,0
Article1186,22,0
Article1187,17,0
Article1188,17,0
Article1189,11,0
Article1190,14,0
Article1191,22,0
Article1192,22,0
Article1193,15,0
Article1194,26,0
Article1195,22,0
Article1196,12,0
Article1197,21,0
Article1198,23,0
Article1199,11,0
Article1200,15,0
Article1201,25,0
Article1202,24,0
Article1203,23,0
Article1204,19,0
Article1205,23,0
Article1206,24,0
Article1207,15,0
Article1208,3,0
Article1209,22,0
Article1210,24,0
Article1211,5,0
Article1212,25,0
Article1213,23,0
Article1214,25,0
Article1215,23,0
Article1216,17,0
Article1217,23,0
Article1218,19,0
Article1219,20,0
Article1220,26,0
Article1221,16,0
Article1222,23,0
Article1223,24,0
Article1224,26,0
Article1225,19,0
Article1226,21,0
Article1227,23,0
Article1228,14,0
Article1229,13,0
Article1230,23,0
Article1231,21,0
Article1232,17,0
Article1233,17,0
Article1234,16,0
Article1235,24,0
Article1236,10,0
Article1237,21,0
Article1238,19,0
Article1239,23,0
Article1240,20,0
Article1241,17,0
Article1242,8,0
Article1243,23,0
Article1244,19,0
Article1245,17,0
Article1246,16,0
Article1247,16,0
Article1248,24,0
Article1249,11,0
Article1250,22,0
Article1251,15,0
Article1252,21,0
Article1253,17,0
Article1254,23,0
Article1255,15,0
Article1256,9,0
Article1257,18,0
Article1258,18,0
Article1259,2,0
Article1260,23,0
Article1261,12,0
Article1262,18,0
Article1263,19,0
Article1264,26,0
Article1265,16,0
Article1266,15,0
Article1267,0,0
Article1268,10,0
Article1269,12,0
Article1270,18,0
Article1271,20,0
Article1272,14,0
Article1273,17,0
Article1274,21,0
Article1275,19,0
Article1276,20,0
Article1277,17,0
Article1278,20,0
Article1279,12,0
Article1280,26,0
Article1281,22,0
Article1282,20,0
Article1283,21,0
Article1284,19,0
Article1285,10,0
Article1286,22,0
Article1287,17,0
Article1288,17,0
Article1289,11,0
Article1290,14,0
Article1291,22,0
Article1292,22,0
Article1293,15,0
Article1294,26,0
Article1295,22,0
Article1296,12,0
Article1297,21,0
Article1298,23,0
Article1299,11,0
Article1300,15,0
Article1301,24,0
Article1302,23,0
Article1303,23,0
Article1304,24,0
Article1305,29,0
Article1306,14,0
Article1307,3,0
Article1308,23,0
Article1309,5,0
Article1310,21,0
Article1311,17,0
Article1312,22,0
Article1313,23,0
Article1314,27,0
Article1315,24,0
Article1316,21,0
Article1317,19,0
Article1318,24,0
Article1319,21,0
Article1320,23,0
Article1321,23,0
Article1322,21,0
Article1323,16,0
Article1324,23,0
Article1325,23,0
Article1326,26,0
Article1327,18,0
Article1328,9,0
Article1329,25,0
Article1330,21,0
Article1331,21,0
Article1332,21,0
Article1333,23,0
Article1334,23,0
Article1335,19,0
Article1336,15,0
Article1337,24,0
Article1338,22,0
Article1339,22,0
Article1340,18,0
Article1341,18,0
Article1342,25,0
Article1343,15,0
Article1344,16,0
Article1345,29,0
Article1346,11,0
Article1347,14,0
Article1348,17,0
Article1349,22,0
Article1350,22,0
Article1351,4,0
Article1352,6,0
Article1353,20,0
Article1354,21,0
Article1355,17,0
Article1356,21,0
Article1357,18,0
Article1358,23,0
Article1359,15,0
Article1360,18,0
Article1361,23,0
Article1362,19,0
Article1363,22,0
Article1364,22,0
Article1365,20,0
Article1366,23,0
Article1367,23,0
Article1368,23,0
Article1369,16,0
Article1370,6,0
Article1371,21,0
Article1372,16,0
Article1373,24,0
Article1374,16,0
Article1375,15,0
Article1376,21,0
Article1377,22,0
Article1378,26,0
Article1379,20,0
Article1380,18,0
Article1381,18,0
Article1382,23,0
Article1383,23,0
Article1384,19,0
Article1385,16,0
Article1386,21,0
Article1387,21,0
Article1388,23,0
Article1389,18,0
Article1390,21,0
Article1391,11,0
Article1392,19,0
Article1393,22,0
Article1394,22,0
Article1395,24,0
Article1396,13,0
Article1397,20,0
Article1398,24,0
Article1399,16,0
Article1400,9,0
Article1401,24,0
Article1402,23,0
Article1403,23,0
Article1404,24,0
Article1405,29,0
Article1406,14,0
Article1407,3,0
Article1408,23,0
Article1409,5,0
Article1410,21,0
Article1411,17,0
Article1412,22,0
Article1413,23,0
Article1414,27,0
Article1415,24,0
Article1416,21,0
Article1417,19,0
Article1418,24,0
Article1419,21,0
Article1420,23,0
Article1421,23,0
Article1422,21,0
Article1423,16,0
Article1424,23,0
Article1425,23,0
Article1426,26,0
Article1427,18,0
Article1428,9,0
Article1429,25,0
Article1430,21,0
Article1431,21,0
Article1432,21,0
Article1433,23,0
Article1434,19,0
Article1435,15,0
Article1436,24,0
Article1437,22,0
Article1438,22,0
Article1439,18,0
Article1440,18,0
Article1441,25,0
Article1442,15,0
Article1443,16,0
Article1444,29,0
Article1445,11,0
Article1446,14,0
Article1447,17,0
Article1448,22,0
Article1449,22,0
Article1450,4,0
Article1451,6,0
Article1452,20,0
Article1453,21,0
Article1454,17,0
Article1455,21,0
Article1456,18,0
Article1457,23,0
Article1458,15,0
Article1459,18,0
Article1460,23,0
Article1461,19,0
Article1462,22,0
Article1463,22,0
Article1464,20,0
Article1465,23,0
Article1466,23,0
Article1467,23,0
Article1468,16,0
Article1469,6,0
Article1470,21,0
Article1471,16,0
Article1472,24,0
Article1473,16,0
Article1474,15,0
Article1475,21,0
Article1476,22,0
Article1477,26,0
Article1478,20,0
Article1479,18,0
Article1480,18,0
Article1481,23,0
Article1482,23,0
Article1483,19,0
Article1484,16,0
Article1485,21,0
Article1486,21,0
Article1487,23,0
Article1488,18,0
Article1489,21,0
Article1490,11,0
Article1491,19,0
Article1492,22,0
Article1493,22,0
Article1494,24,0
Article1495,13,0
Article1496,20,0
Article1497,24,0
Article1498,16,0
Article1499,9,0
Article1500,23,0
Article1501,18,0
Article1502,12,0
Article1503,19,0
Article1504,24,0
Article1505,18,0
Article1506,21,0
Article1507,12,0
Article1508,18,0
Article1509,24,0
Article1510,13,0
Article1511,19,0
Article1512,15,0
Article1513,15,0
Article1514,17,0
Article1515,20,0
Article1516,17,0
Article1517,7,0
Article1518,20,0
Article1519,16,0
Article1520,22,0
Article1521,18,0
Article1522,26,0
Article1523,19,0
Article1524,20,0
Article1525,20,0
Article1526,9,0
Article1527,9,0
Article1528,12,0
Article1529,12,0
Article1530,3,0
Article1531,22,0
Article1532,21,0
Article1533,4,0
Article1534,25,0
Article1535,19,0
Article1536,19,0
Article1537,21,0
Article1538,18,0
Article1539,22,0
Article1540,18,0
Article1541,24,0
Article1542,16,0
Article1543,24,0
Article1544,21,0
Article1545,23,0
Article1546,18,0
Article1547,23,0
Article1548,18,0
Article1549,12,0
Article1550,6,0
Article1551,8,0
Article1552,2,0
Article1553,23,0
Article1554,17,0
Article1555,10,0
Article1556,20,0
Article1557,17,0
Article1558,11,0
Article1559,12,0
Article1560,19,0
Article1561,20,0
Article1562,21,0
Article1563,20,0
Article1564,17,0
Article1565,2,0
Article1566,18,0
Article1567,16,0
Article1568,27,0
Article1569,21,0
Article1570,20,0
Article1571,12,0
Article1572,18,0
Article1573,24,0
Article1574,2,0
Article1575,20,0
Article1576,23,0
Article1577,19,0
Article1578,27,0
Article1579,21,0
Article1580,26,0
Article1581,22,0
Article1582,12,0
Article1583,18,0
Article1584,10,0
Article1585,21,0
Article1586,10,0
Article1587,22,0
Article1588,10,0
Article1589,16,0
Article1590,17,0
Article1591,17,0
Article1592,24,0
Article1593,24,0
Article1594,20,0
Article1595,18,0
Article1596,15,0
Article1597,15,0
Article1598,16,0
Article1599,20,0
Article1600,17,0
Article1601,18,0
Article1602,12,0
Article1603,19,0
Article1604,24,0
Article1605,18,0
Article1606,21,0
Article1607,12,0
Article1608,18,0
Article1609,24,0
Article1610,13,0
Article1611,19,0
Article1612,15,0
Article1613,15,0
Article1614,17,0
Article1615,20,0
Article1616,17,0
Article1617,7,0
Article1618,20,0
Article1619,16,0
Article1620,22,0
Article1621,18,0
Article1622,26,0
Article1623,19,0
Article1624,20,0
Article1625,20,0
Article1626,9,0
Article1627,9,0
Article1628,12,0
Article1629,12,0
Article1630,3,0
Article1631,22,0
Article1632,21,0
Article1633,4,0
Article1634,25,0
Article1635,19,0
Article1636,19,0
Article1637,21,0
Article1638,18,0
Article1639,22,0
Article1640,18,0
Article1641,24,0
Article1642,16,0
Article1643,24,0
Article1644,21,0
Article1645,23,0
Article1646,18,0
Article1647,23,0
Article1648,18,0
Article1649,12,0
Article1650,6,0
Article1651,8,0
Article1652,2,0
Article1653,23,0
Article1654,17,0
Article1655,10,0
Article1656,20,0
Article1657,17,0
Article1658,11,0
Article1659,12,0
Article1660,19,0
Article1661,20,0
Article1662,21,0
Article1663,20,0
